country	renewables_share_elec	peak_year	years_ago
Congo	100.0	2001	19
Bhutan	100.0	2014	6
Albania	100.0	2018	2
Nepal	100.0	2019	1
Rwanda	100.0	2004	16
Lesotho	100.0	2004	16
Laos	100.0	2010	10
Paraguay	99.999	2016	4
Iceland	99.99	2018	2
Ethiopia	99.971	2017	3
Democratic Republic of Congo	99.966	2019	1
Namibia	99.941	2004	16
Mozambique	99.927	2009	11
Uganda	99.897	2004	16
Zambia	99.883	2010	10
Sri Lanka	99.841	1990	30
Costa Rica	99.841	2020	0
Norway	99.805	2000	20
Tajikistan	99.798	2010	10
Uruguay	99.771	2001	19
Central African Republic	99.413	2016	4
Cameroon	98.963	2000	20
Burundi	98.657	2010	10
Belize	97.977	2011	9
Tanzania	96.079	2003	17
Middle Africa	95.847	1989	31
Brazil	95.406	1994	26
Other South America	95.035	2001	19
Kyrgyzstan	93.799	2013	7
Georgia	93.567	2002	18
Malawi	92.286	2014	6
Ghana	91.923	2000	20
French Guiana	90.598	2001	19
Kenya	89.2	2019	1
Central America	88.752	1990	30
Afghanistan	87.776	2015	5
Togo	87.376	2011	9
Sierra Leone	87.209	2011	9
North Korea	86.637	2019	1
Other Southern Africa	86.462	2011	9
Peru	86.186	2001	19
Ecuador	85.873	1989	31
New Zealand	84.906	2016	4
Colombia	84.677	2008	12
Eastern Africa	84.199	2003	17
Chile	83.737	1987	33
Sudan	83.734	2010	10
Greenland	83.085	2013	7
Panama	82.082	2019	1
Austria	81.472	2014	6
Angola	81.406	2006	14
Fiji	80.567	2001	19
Lithuania	80.144	2018	2
Denmark	78.209	2020	0
Zimbabwe	77.569	2008	12
Montenegro	75.992	2009	11
Other CIS	75.63	2003	17
El Salvador	75.439	2018	2
Venezuela	75.413	2005	15
Vietnam	75.22	1994	26
South & Central America	75.146	1994	26
Honduras	74.873	2019	1
Guinea	74.845	2013	7
Latvia	74.487	1998	22
Croatia	73.956	2014	6
Luxembourg	71.529	2020	0
Suriname	71.264	2010	10
Guatemala	71.179	2017	3
Madagascar	69.231	2000	20
Canada	68.52	2020	0
Mali	67.816	2010	10
Sweden	67.622	2020	0
Switzerland	65.573	2017	3
Gabon	65.127	2001	19
Other Asia & Pacific	63.814	2013	7
Nicaragua	63.01	2019	1
Cambodia	62.361	2014	6
Portugal	60.748	2014	6
Turkey	60.393	1988	32
Bolivia	56.139	2001	19
Philippines	55.26	1986	34
Western Africa	54.718	1991	29
Haiti	53.014	2000	20
Mauritania	52.353	2019	1
Europe (other)	51.973	1996	24
Samoa	51.24	2002	18
Bosnia and Herzegovina	50.14	2000	20
Finland	49.936	2020	0
Argentina	46.217	1997	23
Pakistan	45.183	1985	35
Germany	44.897	2020	0
Dominica	44.737	2004	16
Papua New Guinea	44.161	2000	20
