year	country	renewables_share_energy	world_avg_renewables_share_energy
1900	Canada		
1901	Canada		
1902	Canada		
1903	Canada		
1904	Canada		
1905	Canada		
1906	Canada		
1907	Canada		
1908	Canada		
1909	Canada		
1910	Canada		
1911	Canada		
1912	Canada		
1913	Canada		
1914	Canada		
1915	Canada		
1916	Canada		
1917	Canada		
1918	Canada		
1919	Canada		
1920	Canada		
1921	Canada		
1922	Canada		
1923	Canada		
1924	Canada		
1925	Canada		
1926	Canada		
1927	Canada		
1928	Canada		
1929	Canada		
1930	Canada		
1931	Canada		
1932	Canada		
1933	Canada		
1934	Canada		
1935	Canada		
1936	Canada		
1937	Canada		
1938	Canada		
1939	Canada		
1940	Canada		
1941	Canada		
1942	Canada		
1943	Canada		
1944	Canada		
1945	Canada		
1946	Canada		
1947	Canada		
1948	Canada		
1949	Canada		
1950	Canada		
1951	Canada		
1952	Canada		
1953	Canada		
1954	Canada		
1955	Canada		
1956	Canada		
1957	Canada		
1958	Canada		
1959	Canada		
1960	Canada		
1961	Canada		
1962	Canada		
1963	Canada		
1964	Canada		
1965	Canada	23.981	8.589735294117647
1966	Canada	25.004	8.561073529411763
1967	Canada	24.438	8.539764705882352
1968	Canada	23.338	8.43939705882353
1969	Canada	24.352	8.390779411764706
1970	Canada	23.871	8.32845588235294
1971	Canada	23.779	8.192594202898553
1972	Canada	24.717	8.238724637681159
1973	Canada	24.773	7.972942028985506
1974	Canada	26.01	8.57186956521739
1975	Canada	25.448	8.766898550724639
1976	Canada	25.284	8.297202898550724
1977	Canada	24.755	8.729362318840579
1978	Canada	26.108	8.736101449275363
1979	Canada	26.318	8.978594202898556
1980	Canada	26.523	8.967202898550727
1981	Canada	28.474	9.165797101449272
1982	Canada	28.593	9.282942028985511
1983	Canada	29.687	9.392014492753622
1984	Canada	30.0	9.736884057971016
1985	Canada	30.775	8.828303797468354
1986	Canada	31.419	8.694151898734177
1987	Canada	30.959	8.826658227848103
1988	Canada	28.942	8.981721518987348
1989	Canada	27.177	8.783594936708857
1990	Canada	28.217	8.983390243902441
1991	Canada	29.252	9.237134146341464
1992	Canada	29.314	9.046060975609757
1993	Canada	29.338	9.439548780487804
1994	Canada	28.856	9.527341463414635
1995	Canada	28.898	9.48330487804878
1996	Canada	29.843	9.170670731707316
1997	Canada	29.184	9.101963414634142
1998	Canada	28.184	9.367609756097565
1999	Canada	28.454	9.420841463414636
2000	Canada	28.572	9.557134146341463
2001	Canada	27.152	9.360756097560975
2002	Canada	27.567	9.20328048780488
2003	Canada	26.248	9.10728048780488
2004	Canada	25.99	9.332731707317077
2005	Canada	27.285	9.359548780487808
2006	Canada	26.991	9.496231707317078
2007	Canada	27.025	9.419475609756098
2008	Canada	27.706	9.720792682926831
2009	Canada	28.774	10.25319512195122
2010	Canada	27.021	10.65948780487805
2011	Canada	27.608	10.468134146341466
2012	Canada	28.251	10.76280487804878
2013	Canada	28.109	11.526987804878043
2014	Canada	27.136	11.661353658536585
2015	Canada	28.001	11.802182926829268
2016	Canada	28.541	11.911402439024387
2017	Canada	28.657	12.110890243902434
2018	Canada	27.569	12.540060975609748
2019	Canada	27.638	12.779756097560973
2020	Canada		
