year	country	renewables_share_elec	world_avg_renewables_share_elec
1900	Canada		
1901	Canada		
1902	Canada		
1903	Canada		
1904	Canada		
1905	Canada		
1906	Canada		
1907	Canada		
1908	Canada		
1909	Canada		
1910	Canada		
1911	Canada		
1912	Canada		
1913	Canada		
1914	Canada		
1915	Canada		
1916	Canada		
1917	Canada		
1918	Canada		
1919	Canada		
1920	Canada		
1921	Canada		
1922	Canada		
1923	Canada		
1924	Canada		
1925	Canada		
1926	Canada		
1927	Canada		
1928	Canada		
1929	Canada		
1930	Canada		
1931	Canada		
1932	Canada		
1933	Canada		
1934	Canada		
1935	Canada		
1936	Canada		
1937	Canada		
1938	Canada		
1939	Canada		
1940	Canada		
1941	Canada		
1942	Canada		
1943	Canada		
1944	Canada		
1945	Canada		
1946	Canada		
1947	Canada		
1948	Canada		
1949	Canada		
1950	Canada		
1951	Canada		
1952	Canada		
1953	Canada		
1954	Canada		
1955	Canada		
1956	Canada		
1957	Canada		
1958	Canada		
1959	Canada		
1960	Canada		
1961	Canada		
1962	Canada		
1963	Canada		
1964	Canada		
1965	Canada		
1966	Canada		
1967	Canada		
1968	Canada		
1969	Canada		
1970	Canada		
1971	Canada		
1972	Canada		
1973	Canada		
1974	Canada		
1975	Canada		
1976	Canada		
1977	Canada		
1978	Canada		
1979	Canada		
1980	Canada		
1981	Canada		
1982	Canada		
1983	Canada		
1984	Canada		
1985	Canada	66.517	27.49999999999999
1986	Canada	66.69	27.217702127659575
1987	Canada	64.166	27.030180851063825
1988	Canada	61.247	27.407010638297873
1989	Canada	59.011	26.475202127659564
1990	Canada	62.348	26.752226804123712
1991	Canada	61.394	27.095247422680412
1992	Canada	61.644	26.845762886597946
1993	Canada	61.688	27.723536082474222
1994	Canada	60.328	27.814175257731957
1995	Canada	61.172	27.386164948453615
1996	Canada	63.362	27.140989690721657
1997	Canada	62.361	26.269350515463902
1998	Canada	60.487	26.26886597938144
1999	Canada	61.29	26.21836082474226
2000	Canada	61.768	30.633432432432443
2001	Canada	59.225	30.09247533632286
2002	Canada	61.061	30.169233183856484
2003	Canada	60.101	29.928
2004	Canada	59.622	30.08389237668162
2005	Canada	60.854	29.942627802690605
2006	Canada	60.841	29.36419111111113
2007	Canada	61.246	29.21641333333334
2008	Canada	62.569	29.426044247787615
2009	Canada	63.889	29.802296460177
2010	Canada	62.978	30.940306666666675
2011	Canada	64.118	30.285595555555563
2012	Canada	65.135	30.639840707964613
2013	Canada	65.544	31.359274336283196
2014	Canada	65.095	31.24072123893804
2015	Canada	65.26	30.837650442477884
2016	Canada	65.985	31.475623893805306
2017	Canada	67.743	31.804256637168137
2018	Canada	67.42	32.86157522123895
2019	Canada	67.018	33.23219911504424
2020	Canada	68.52	36.667088235294116
