year	renewables_share_elec	low_carbon_share_elec
1900		
1901		
1902		
1903		
1904		
1905		
1906		
1907		
1908		
1909		
1910		
1911		
1912		
1913		
1914		
1915		
1916		
1917		
1918		
1919		
1920		
1921		
1922		
1923		
1924		
1925		
1926		
1927		
1928		
1929		
1930		
1931		
1932		
1933		
1934		
1935		
1936		
1937		
1938		
1939		
1940		
1941		
1942		
1943		
1944		
1945		
1946		
1947		
1948		
1949		
1950		
1951		
1952		
1953		
1954		
1955		
1956		
1957		
1958		
1959		
1960		
1961		
1962		
1963		
1964		
1965		
1966		
1967		
1968		
1969		
1970		
1971		
1972		
1973		
1974		
1975		
1976		
1977		
1978		
1979		
1980		
1981		
1982		
1983		
1984		
1985	66.517	79.702
1986	66.69	81.9
1987	64.166	79.73
1988	61.247	77.624
1989	59.011	74.935
1990	62.348	77.425
1991	61.394	78.029
1992	61.644	77.073
1993	61.688	79.282
1994	60.328	79.691
1995	61.172	78.589
1996	63.362	79.478
1997	62.361	76.68
1998	60.487	73.119
1999	61.29	73.922
2000	61.768	73.522
2001	59.225	71.955
2002	61.061	73.348
2003	60.101	72.531
2004	59.622	74.366
2005	60.854	75.174
2006	60.841	76.438
2007	61.246	75.634
2008	62.569	76.933
2009	63.889	78.147
2010	62.978	77.573
2011	64.118	78.475
2012	65.135	79.597
2013	65.544	80.688
2014	65.095	80.588
2015	65.26	80.215
2016	65.985	80.795
2017	67.743	82.487
2018	67.42	82.334
2019	67.018	82.017
2020	68.52	83.359
