year	renewables_electricity	annual_growth_rate
1900		
1901		
1902		
1903		
1904		
1905		
1906		
1907		
1908		
1909		
1910		
1911		
1912		
1913		
1914		
1915		
1916		
1917		
1918		
1919		
1920		
1921		
1922		
1923		
1924		
1925		
1926		
1927		
1928		
1929		
1930		
1931		
1932		
1933		
1934		
1935		
1936		
1937		
1938		
1939		
1940		
1941		
1942		
1943		
1944		
1945		
1946		
1947		
1948		
1949		
1950		
1951		
1952		
1953		
1954		
1955		
1956		
1957		
1958		
1959		
1960		
1961		
1962		
1963		
1964		
1965		
1966		
1967		
1968		
1969		
1970		
1971		
1972		
1973		
1974		
1975		
1976		
1977		
1978		
1979		
1980		
1981		
1982		
1983		
1984		
1985	305.323	
1986	312.501	2.350952925262754
1987	318.519	1.9257538375877292
1988	309.921	-2.699368012583241
1989	293.928	-5.160347314315582
1990	299.639	1.942992841784387
1991	311.262	3.8790010646144157
1992	319.701	2.711220772211199
1993	327.092	2.3118476326317285
1994	333.65	2.004940506034997
1995	341.26	2.280833208451975
1996	362.188	6.132567543808239
1997	356.917	-1.4553215457165933
1998	339.929	-4.759650002661683
1999	354.119	4.174401124940813
2000	363.46	2.6378138422394595
2001	338.984	-6.734166070544215
2002	356.558	5.184315483916649
2003	344.009	-3.5194835061897303
2004	347.244	0.9403823737169705
2005	369.001	6.2656230201241625
2006	360.582	-2.2815656326134572
2007	375.434	4.118896672601526
2008	384.642	2.4526281583447345
2009	381.463	-0.8264828073897218
2010	368.927	-3.286295132162228
2011	394.433	6.9135628457662275
2012	401.106	1.691795564772725
2013	419.705	4.636928891614683
2014	414.21	-1.3092529276515659
2015	417.339	0.755413920475126
2016	426.154	2.112191767364181
2017	437.096	2.5676164015825282
2018	429.615	-1.711523326683382
2019	423.82	-1.3488821386590357
2020	430.52	1.5808597989712587
