year	low_carbon_electricity	annual_growth_rate
1900		
1901		
1902		
1903		
1904		
1905		
1906		
1907		
1908		
1909		
1910		
1911		
1912		
1913		
1914		
1915		
1916		
1917		
1918		
1919		
1920		
1921		
1922		
1923		
1924		
1925		
1926		
1927		
1928		
1929		
1930		
1931		
1932		
1933		
1934		
1935		
1936		
1937		
1938		
1939		
1940		
1941		
1942		
1943		
1944		
1945		
1946		
1947		
1948		
1949		
1950		
1951		
1952		
1953		
1954		
1955		
1956		
1957		
1958		
1959		
1960		
1961		
1962		
1963		
1964		
1965		
1966		
1967		
1968		
1969		
1970		
1971		
1972		
1973		
1974		
1975		
1976		
1977		
1978		
1979		
1980		
1981		
1982		
1983		
1984		
1985	365.844	
1986	383.768	4.899356009665316
1987	395.78	3.1300160513643664
1988	392.788	-0.7559755419677503
1989	373.245	-4.975457498701591
1990	372.099	-0.307036932845722
1991	395.601	6.3160610482694155
1992	399.723	1.041958943480935
1993	420.376	5.166828028409665
1994	440.734	4.8428073914781065
1995	438.425	-0.5238987688719203
1996	454.311	3.623424759080793
1997	438.872	-3.398332860089227
1998	410.922	-6.368599500537739
1999	427.099	3.9367568540988227
2000	432.619	1.2924403943816396
2001	411.842	-4.802609224282809
2002	428.308	3.998135207191109
2003	415.156	-3.0706874492187834
2004	433.112	4.3251211592750725
2005	455.832	5.245756293983997
2006	453.018	-0.6173327015216179
2007	463.627	2.3418495512319684
2008	472.941	2.008942533545278
2009	466.592	-1.3424507496706757
2010	454.428	-2.6069885467389042
2011	482.751	6.232670522062897
2012	490.166	1.5359885323904083
2013	516.676	5.408371857697198
2014	512.798	-0.750567086530058
2015	512.976	0.03471152383589587
2016	521.804	1.7209382115342577
2017	532.227	1.9974933116649167
2018	524.652	-1.4232648850960083
2019	518.674	-1.1394219406387596
2020	523.757	0.9799989974434752
