year	renewables	fossil_fuels	renewables_percentage	fossil_fuels_percentage
1900				
1901				
1902				
1903				
1904				
1905				
1906				
1907				
1908				
1909				
1910				
1911				
1912				
1913				
1914				
1915				
1916				
1917				
1918				
1919				
1920				
1921				
1922				
1923				
1924				
1925				
1926				
1927				
1928				
1929				
1930				
1931				
1932				
1933				
1934				
1935				
1936				
1937				
1938				
1939				
1940				
1941				
1942				
1943				
1944				
1945				
1946				
1947				
1948				
1949				
1950				
1951				
1952				
1953				
1954				
1955				
1956				
1957				
1958				
1959				
1960				
1961				
1962				
1963				
1964				
1965				
1966				
1967				
1968				
1969				
1970				
1971				
1972				
1973				
1974				
1975				
1976				
1977				
1978				
1979				
1980				
1981				
1982				
1983				
1984				
1985	305.323	93.03	76.64634131034535	23.353658689654655
1986	312.501	84.679	78.6799436023969	21.320056397603103
1987	318.519	100.458	76.0230275170236	23.976972482976393
1988	309.921	113.032	73.27551761070379	26.724482389296213
1989	293.928	124.746	70.20450278737155	29.79549721262844
1990	299.639	108.342	73.44435157519591	26.555648424804097
1991	311.262	111.242	73.6707818150834	26.32921818491659
1992	319.701	118.746	72.9166809215253	27.083319078474705
1993	327.092	109.691	74.8866141768338	25.113385823166194
1994	333.65	112.156	74.8419716199423	25.158028380057694
1995	341.26	117.883	74.32542802569134	25.67457197430866
1996	362.188	115.665	75.79485741430942	24.205142585690577
1997	356.917	131.777	73.03486435274425	26.965135647255746
1998	339.929	149.275	69.4861448393717	30.51385516062829
1999	354.119	148.881	70.40139165009941	29.598608349900594
2000	363.46	155.805	69.9950892126371	30.00491078736291
2001	338.984	160.52	67.86412120823857	32.13587879176143
2002	356.558	155.632	69.61440090591381	30.385599094086174
2003	344.009	157.228	68.63200442106229	31.36799557893771
2004	347.244	149.295	69.93287536326453	30.067124636735482
2005	369.001	150.535	71.02510701857042	28.974892981429583
2006	360.582	139.64	72.0843945288292	27.9156054711708
2007	375.434	149.362	71.53903612070214	28.460963879297857
2008	384.642	141.806	73.06362641704403	26.936373582955962
2009	381.463	130.475	74.51351530849439	25.486484691505613
2010	368.927	131.376	73.74071312784453	26.259286872155474
2011	394.433	132.414	74.866707032592	25.133292967407993
2012	401.106	125.64	76.14789670922988	23.852103290770124
2013	419.705	123.663	77.24139073335199	22.75860926664802
2014	414.21	123.523	77.02893443400349	22.97106556599651
2015	417.339	126.528	76.73548863968581	23.264511360314195
2016	426.154	124.034	77.4560695616771	22.543930438322903
2017	437.096	112.996	79.458708725086	20.541291274914013
2018	429.615	112.569	79.23786020981808	20.762139790181934
2019	423.82	113.727	78.84333834994894	21.156661650051063
2020	430.52	104.559	80.45914715397166	19.540852846028343
